Agency Name,Complaint Type,Descriptor,Incident Zip,City,Community Board,Borough
Department of Transportation,Street Condition,Pothole,10474,BRONX,02 BRONX,BRONX
Department of Transportation,Street Condition,Pothole,10312,STATEN ISLAND,03 STATEN ISLAND,STATEN ISLAND
Department of Transportation,Street Condition,Pothole,10031,NEW YORK,09 MANHATTAN,MANHATTAN
Department of Environmental Protection,Sewer,Catch Basin Sunken/Damaged/Raised (SC1),10452,BRONX,04 BRONX,BRONX
New York City Police Department,Blocked Driveway,No Access,10467,BRONX,07 BRONX,BRONX
Department of Environmental Protection,Water System,Hydrant Leaking (WC1),10032,NEW YORK,12 MANHATTAN,MANHATTAN
Department of Environmental Protection,Water System,Hydrant Knocked Over/Missing (WC),11215,BROOKLYN,07 BROOKLYN,BROOKLYN
Department of Environmental Protection,Water System,Hydrant Knocked Over/Missing (WC),11232,BROOKLYN,07 BROOKLYN,BROOKLYN
Department of Environmental Protection,Water System,Hydrant Running Full (WA4),10455,BRONX,01 BRONX,BRONX
New York City Police Department,Blocked Driveway,No Access,10467,BRONX,07 BRONX,BRONX
Department of Environmental Protection,Sewer,Catch Basin Sunken/Damaged/Raised (SC1),11411,Cambria Heights,13 QUEENS,QUEENS
Department of Transportation,Traffic Signal Condition,Controller,11213,BROOKLYN,08 BROOKLYN,BROOKLYN
Department of Environmental Protection,Sewer,Manhole Cover Broken/Making Noise (SB),11429,Queens Village,13 QUEENS,QUEENS
Department of Environmental Protection,Sewer,Catch Basin Sunken/Damaged/Raised (SC1),11429,Queens Village,13 QUEENS,QUEENS
Department of Environmental Protection,Sewer,Manhole Cover Broken/Making Noise (SB),10009,NEW YORK,03 MANHATTAN,MANHATTAN
Department of Environmental Protection,Water System,Other Water Problem (Use Comments) (WZZ),11368,Corona,04 QUEENS,QUEENS
Department of Environmental Protection,Sewer,Manhole Cover Broken/Making Noise (SB),10022,NEW YORK,06 MANHATTAN,MANHATTAN
Department of Transportation,Traffic Signal Condition,Controller,,,Unspecified BRONX,BRONX
Department of Transportation,Traffic Signal Condition,LED Pedestrian Unit,,,Unspecified MANHATTAN,MANHATTAN
Department of Transportation,Traffic Signal Condition,LED Pedestrian Unit,,,Unspecified MANHATTAN,MANHATTAN
Department of Transportation,Traffic Signal Condition,LED Pedestrian Unit,,,Unspecified MANHATTAN,MANHATTAN
New York City Police Department,Noise - Commercial,Loud Music/Party,10009,NEW YORK,03 MANHATTAN,MANHATTAN
Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),11102,Astoria,Unspecified QUEENS,QUEENS
Department of Environmental Protection,Sewer,Catch Basin Clogged/Flooding (Use Comments) (SC),11102,Astoria,Unspecified QUEENS,QUEENS
New York City Police Department,Blocked Driveway,Partial Access,11374,REGO PARK,05 QUEENS,QUEENS
New York City Police Department,Blocked Driveway,No Access,11207,BROOKLYN,05 BROOKLYN,BROOKLYN
New York City Police Department,Blocked Driveway,No Access,10457,BRONX,06 BRONX,BRONX
Department of Transportation,Traffic Signal Condition,Pedestrian Signal,10012,NEW YORK,02 MANHATTAN,MANHATTAN
New York City Police Department,Blocked Driveway,No Access,11414,HOWARD BEACH,10 QUEENS,QUEENS
New York City Police Department,Noise - Commercial,Loud Music/Party,11237,BROOKLYN,01 BROOKLYN,BROOKLYN
New York City Police Department,Blocked Driveway,No Access,10468,BRONX,07 BRONX,BRONX
Department of Environmental Protection,Noise,"Noise, Barking Dog (NR5)",10035,NEW YORK,11 MANHATTAN,MANHATTAN
New York City Police Department,Noise - Vehicle,Car/Truck Music,11209,BROOKLYN,10 BROOKLYN,BROOKLYN
New York City Police Department,Illegal Parking,Posted Parking Sign Violation,10454,BRONX,01 BRONX,BRONX
New York City Police Department,Blocked Driveway,No Access,10474,BRONX,02 BRONX,BRONX
New York City Police Department,Noise - Commercial,Loud Music/Party,11373,ELMHURST,04 QUEENS,QUEENS
New York City Police Department,Blocked Driveway,No Access,11208,BROOKLYN,05 BROOKLYN,BROOKLYN
Taxi and Limousine Commission,Taxi Complaint,Driver Complaint,11375,FOREST HILLS,06 QUEENS,QUEENS
Department of Transportation,Street Light Condition,Lamppost Knocked Down,11369,East Elmhurst,03 QUEENS,QUEENS
Department of Transportation,Ferry Inquiry,Lost and Found,,,0 Unspecified,Unspecified
Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),10025,NEW YORK,Unspecified MANHATTAN,MANHATTAN
Department of Health and Mental Hygiene,Indoor Sewage,Sewage Odor,10472,BRONX,09 BRONX,BRONX
Department of Sanitation,Graffiti,Graffiti,11234,BROOKLYN,18 BROOKLYN,BROOKLYN
New York City Police Department,Noise - Commercial,Loud Music/Party,11219,BROOKLYN,11 BROOKLYN,BROOKLYN
311 Executive Office - EC,Agency Issues,Call Center Compliment,,,0 Unspecified,Unspecified
New York City Police Department,Blocked Driveway,No Access,11208,BROOKLYN,05 BROOKLYN,BROOKLYN
New York City Police Department,Noise - Commercial,Loud Music/Party,11378,MASPETH,05 QUEENS,QUEENS
New York City Police Department,Blocked Driveway,No Access,10468,BRONX,08 BRONX,BRONX
New York City Police Department,Noise - Commercial,Loud Music/Party,11237,BROOKLYN,01 BROOKLYN,BROOKLYN
New York City Police Department,Illegal Parking,Blocked Sidewalk,11375,FOREST HILLS,06 QUEENS,QUEENS
Department of Transportation,Traffic Signal Condition,Controller,,,Unspecified BROOKLYN,BROOKLYN
New York City Police Department,Noise - Vehicle,Car/Truck Music,11356,COLLEGE POINT,07 QUEENS,QUEENS
New York City Police Department,Blocked Driveway,No Access,11213,BROOKLYN,08 BROOKLYN,BROOKLYN
Department of Environmental Protection,Sewer,Sewer Odor (SA2),11228,BROOKLYN,10 BROOKLYN,BROOKLYN
New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,10018,NEW YORK,05 MANHATTAN,MANHATTAN
Department of Transportation,Traffic Signal Condition,Controller,11211,BROOKLYN,01 BROOKLYN,BROOKLYN
Department of Transportation,Traffic Signal Condition,Controller,,,Unspecified BRONX,BRONX
New York City Police Department,Blocked Driveway,No Access,11103,ASTORIA,01 QUEENS,QUEENS
New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,10001,NEW YORK,05 MANHATTAN,MANHATTAN
New York City Police Department,Blocked Driveway,No Access,11208,BROOKLYN,05 BROOKLYN,BROOKLYN
New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,10459,BRONX,03 BRONX,BRONX
DOB Inspections - Queens,Construction,Initial - Construction,11420,SOUTH OZONE PARK,10 QUEENS,QUEENS
New York City Police Department,Noise - Commercial,Loud Music/Party,10304,STATEN ISLAND,01 STATEN ISLAND,STATEN ISLAND
DOB Inspections - Queens,Construction,Initial - Construction,11420,SOUTH OZONE PARK,10 QUEENS,QUEENS
New York City Police Department,Noise - Commercial,Loud Music/Party,11219,BROOKLYN,11 BROOKLYN,BROOKLYN
New York City Police Department,Noise - Vehicle,Engine Idling,11219,BROOKLYN,12 BROOKLYN,BROOKLYN
New York City Police Department,Noise - Commercial,Loud Music/Party,10019,NEW YORK,04 MANHATTAN,MANHATTAN
New York City Police Department,Blocked Driveway,No Access,11358,FLUSHING,07 QUEENS,QUEENS
New York City Police Department,Noise - Commercial,Loud Music/Party,11211,BROOKLYN,01 BROOKLYN,BROOKLYN
Taxi and Limousine Commission,Taxi Complaint,Driver Complaint,11568,OLD WESTBURY,0 Unspecified,Unspecified
New York City Police Department,Blocked Driveway,No Access,11378,MASPETH,05 QUEENS,QUEENS
New York City Police Department,Illegal Parking,Posted Parking Sign Violation,11101,LONG ISLAND CITY,02 QUEENS,QUEENS
New York City Police Department,Noise - Commercial,Loud Music/Party,11103,ASTORIA,01 QUEENS,QUEENS
New York City Police Department,Illegal Parking,Overnight Commercial Storage,11435,JAMAICA,12 QUEENS,QUEENS
Department of Transportation,Traffic Signal Condition,Controller,10472,BRONX,09 BRONX,BRONX
New York City Police Department,Noise - Commercial,Loud Music/Party,10013,NEW YORK,02 MANHATTAN,MANHATTAN
Department of Buildings,General Construction/Plumbing,Egress - Doors Locked/Blocked/Improper/No Secondary Means,11228,BROOKLYN,11 BROOKLYN,BROOKLYN
Department of Transportation,Street Light Condition,Lamppost Wire Exposed,,,Unspecified MANHATTAN,MANHATTAN
Department of Environmental Protection,Water System,Hydrant Running (WC3),10005,NEW YORK,01 MANHATTAN,MANHATTAN
HRA Benefit Card Replacement,Benefit Card Replacement,Food Stamp,,,0 Unspecified,Unspecified
New York City Police Department,Noise - Commercial,Loud Music/Party,11214,BROOKLYN,01 BROOKLYN,BROOKLYN
New York City Police Department,Noise - Commercial,Car/Truck Horn,11103,ASTORIA,01 QUEENS,QUEENS
Department of Buildings,Elevator,Elevator - Defective/Not Working,11210,BROOKLYN,17 BROOKLYN,BROOKLYN
New York City Police Department,Noise - Commercial,Loud Music/Party,10002,NEW YORK,03 MANHATTAN,MANHATTAN
Department of Environmental Protection,Noise,Noise: Alarms (NR3),11235,BROOKLYN,Unspecified BROOKLYN,BROOKLYN
New York City Police Department,Noise - Commercial,Loud Music/Party,11211,BROOKLYN,01 BROOKLYN,BROOKLYN
New York City Police Department,Noise - Commercial,Loud Music/Party,11103,ASTORIA,01 QUEENS,QUEENS
New York City Police Department,Illegal Parking,Posted Parking Sign Violation,11230,BROOKLYN,01 BROOKLYN,BROOKLYN
A - Brooklyn,Dirty Conditions,E3 Dirty Sidewalk,11230,BROOKLYN,14 BROOKLYN,BROOKLYN
Department of Environmental Protection,Noise,"Noise, Barking Dog (NR5)",10305,STATEN ISLAND,02 STATEN ISLAND,STATEN ISLAND
Department of Environmental Protection,Air Quality,"Air: Dust, Construction/Demolition (AE4)",11220,BROOKLYN,Unspecified BROOKLYN,BROOKLYN
New York City Police Department,Blocked Driveway,No Access,11218,BROOKLYN,12 BROOKLYN,BROOKLYN
New York City Police Department,Illegal Parking,Blocked Sidewalk,11209,BROOKLYN,01 BROOKLYN,BROOKLYN
New York City Police Department,Noise - Commercial,Loud Music/Party,11218,BROOKLYN,12 BROOKLYN,BROOKLYN
Department of Transportation,Street Light Condition,Street Light Out,11216,BROOKLYN,03 BROOKLYN,BROOKLYN
Department of Transportation,Street Condition,Wear & Tear,10027,NEW YORK,10 MANHATTAN,MANHATTAN
New York City Police Department,Blocked Driveway,No Access,10461,BRONX,10 BRONX,BRONX
New York City Police Department,Blocked Driveway,No Access,11230,BROOKLYN,12 BROOKLYN,BROOKLYN
New York City Police Department,Noise - Commercial,Loud Music/Party,10022,NEW YORK,06 MANHATTAN,MANHATTAN
New York City Police Department,Noise - Commercial,Loud Music/Party,10009,NEW YORK,03 MANHATTAN,MANHATTAN
New York City Police Department,Noise - Commercial,Loud Music/Party,10128,NEW YORK,08 MANHATTAN,MANHATTAN
New York City Police Department,Noise - Commercial,Loud Music/Party,11105,ASTORIA,01 QUEENS,QUEENS
New York City Police Department,Noise - Commercial,Loud Music/Party,10011,NEW YORK,04 MANHATTAN,MANHATTAN
School - PS 360,School Maintenance,Other School Condition,10463,BRONX,08 BRONX,BRONX
Department of Transportation,Traffic Signal Condition,Controller,,,Unspecified BRONX,BRONX
New York City Police Department,Blocked Driveway,No Access,11427,QUEENS VILLAGE,08 QUEENS,QUEENS
New York City Police Department,Noise - Commercial,Loud Music/Party,10010,NEW YORK,05 MANHATTAN,MANHATTAN
New York City Police Department,Noise - Commercial,Loud Music/Party,11106,ASTORIA,01 QUEENS,QUEENS
Department of Buildings,Elevator,Elevator - Defective/Not Working,11692,Arverne,14 QUEENS,QUEENS
New York City Police Department,Noise - Commercial,Loud Music/Party,11215,BROOKLYN,06 BROOKLYN,BROOKLYN
New York City Police Department,Noise - Commercial,Banging/Pounding,10304,STATEN ISLAND,01 STATEN ISLAND,STATEN ISLAND
New York City Police Department,Noise - Commercial,Loud Music/Party,10010,NEW YORK,05 MANHATTAN,MANHATTAN
Department of Transportation,Street Light Condition,Street Light Cycling,11105,Astoria,01 QUEENS,QUEENS
New York City Police Department,Noise - Commercial,Loud Music/Party,10002,NEW YORK,03 MANHATTAN,MANHATTAN
311 Executive Office - EC,Agency Issues,Call Center Complaint,,,0 Unspecified,Unspecified
New York City Police Department,Illegal Parking,Blocked Hydrant,11372,JACKSON HEIGHTS,03 QUEENS,QUEENS
Department of Parks and Recreation,Damaged Tree,Branch or Limb Has Fallen Down,10314,STATEN ISLAND,02 STATEN ISLAND,STATEN ISLAND
Department of Transportation,Street Light Condition,Street Light Out,10309,STATEN ISLAND,03 STATEN ISLAND,STATEN ISLAND
Department of Environmental Protection,Sewer,Manhole Cover Missing (Emergency) (SA3),10451,BRONX,04 BRONX,BRONX
New York City Police Department,Blocked Driveway,No Access,11223,BROOKLYN,11 BROOKLYN,BROOKLYN
Department of Environmental Protection,Noise,"Noise, Barking Dog (NR5)",10035,NEW YORK,11 MANHATTAN,MANHATTAN
New York City Police Department,Illegal Parking,Blocked Hydrant,11372,JACKSON HEIGHTS,03 QUEENS,QUEENS
New York City Police Department,Noise - Commercial,Loud Music/Party,11238,BROOKLYN,03 BROOKLYN,BROOKLYN
Department of Transportation,Street Light Condition,Street Light Out,11204,BROOKLYN,12 BROOKLYN,BROOKLYN
New York City Police Department,Blocked Driveway,No Access,11413,SPRINGFIELD GARDENS,13 QUEENS,QUEENS
New York City Police Department,Blocked Driveway,No Access,11103,ASTORIA,01 QUEENS,QUEENS
New York City Police Department,Noise - Commercial,Loud Music/Party,10003,NEW YORK,05 MANHATTAN,MANHATTAN
New York City Police Department,Illegal Parking,Overnight Commercial Storage,10473,BRONX,09 BRONX,BRONX
New York City Police Department,Derelict Vehicle,With License Plate,10308,STATEN ISLAND,03 STATEN ISLAND,STATEN ISLAND
New York City Police Department,Noise - Commercial,Loud Music/Party,11106,ASTORIA,01 QUEENS,QUEENS
New York City Police Department,Blocked Driveway,Partial Access,11229,BROOKLYN,15 BROOKLYN,BROOKLYN
New York City Police Department,Noise - Commercial,Loud Music/Party,10002,NEW YORK,03 MANHATTAN,MANHATTAN
New York City Police Department,Blocked Driveway,No Access,11233,BROOKLYN,16 BROOKLYN,BROOKLYN
Department of Transportation,Street Condition,Line/Marking - Faded,11225,BROOKLYN,09 BROOKLYN,BROOKLYN
Department of Transportation,Traffic Signal Condition,Controller,11217,BROOKLYN,02 BROOKLYN,BROOKLYN
New York City Police Department,Blocked Driveway,No Access,11370,EAST ELMHURST,03 QUEENS,QUEENS
New York City Police Department,Noise - Commercial,Loud Music/Party,11103,ASTORIA,01 QUEENS,QUEENS
New York City Police Department,Illegal Parking,Blocked Sidewalk,10312,STATEN ISLAND,03 STATEN ISLAND,STATEN ISLAND
Department of Transportation,Street Light Condition,Street Light Out,,,Unspecified BROOKLYN,BROOKLYN
Department of Transportation,Traffic Signal Condition,Controller,11207,BROOKLYN,04 BROOKLYN,BROOKLYN
Department of Transportation,Traffic Signal Condition,Pedestrian Signal,11207,BROOKLYN,Unspecified BROOKLYN,BROOKLYN
Department of Health and Mental Hygiene,Food Establishment,Food Temperature,11216,BROOKLYN,03 BROOKLYN,BROOKLYN
New York City Police Department,Noise - Commercial,Loud Music/Party,11106,ASTORIA,01 QUEENS,QUEENS
New York City Police Department,Homeless Encampment,N/A,10022,NEW YORK,05 MANHATTAN,MANHATTAN
New York City Police Department,Noise - Commercial,Loud Music/Party,11208,BROOKLYN,05 BROOKLYN,BROOKLYN
New York City Police Department,Noise - Commercial,Loud Music/Party,10309,STATEN ISLAND,03 STATEN ISLAND,STATEN ISLAND
New York City Police Department,Illegal Parking,Blocked Hydrant,11214,BROOKLYN,11 BROOKLYN,BROOKLYN
New York City Police Department,Noise - Commercial,Loud Music/Party,11106,ASTORIA,01 QUEENS,QUEENS
Department of Buildings,Elevator,Elevator - Defective/Not Working,11692,Arverne,14 QUEENS,QUEENS
New York City Police Department,Noise - Commercial,Banging/Pounding,11218,BROOKLYN,07 BROOKLYN,BROOKLYN
New York City Police Department,Noise - Commercial,Loud Music/Party,10013,NEW YORK,03 MANHATTAN,MANHATTAN
New York City Police Department,Noise - Commercial,Loud Music/Party,11105,ASTORIA,01 QUEENS,QUEENS
New York City Police Department,Illegal Parking,Commercial Overnight Parking,11214,BROOKLYN,11 BROOKLYN,BROOKLYN
New York City Police Department,Noise - Commercial,Loud Music/Party,11209,BROOKLYN,10 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,ELECTRIC,ELECTRIC-SUPPLY,11374,Rego Park,Unspecified QUEENS,QUEENS
Department of Housing Preservation and Development,HEATING,HEAT,10462,BRONX,09 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,11214,BROOKLYN,11 BROOKLYN,BROOKLYN
Department of Health and Mental Hygiene,Rodent,Signs of Rodents,11212,BROOKLYN,17 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,11691,Far Rockaway,14 QUEENS,QUEENS
Department of Housing Preservation and Development,HEATING,HEAT,11203,BROOKLYN,17 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,PAINT - PLASTER,WALLS,10034,NEW YORK,12 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,PLUMBING,BASIN/SINK,11206,BROOKLYN,03 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,PLUMBING,WATER-LEAKS,11233,BROOKLYN,03 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,ELECTRIC,ELECTRIC-SUPPLY,11204,BROOKLYN,12 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,GENERAL CONSTRUCTION,DOORS,11219,BROOKLYN,10 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,GENERAL CONSTRUCTION,MOLD,10458,BRONX,06 BRONX,BRONX
Department of Housing Preservation and Development,GENERAL,MOLD,11368,Corona,Unspecified QUEENS,QUEENS
Department of Housing Preservation and Development,HEATING,HEAT,10462,BRONX,09 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10019,NEW YORK,04 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,11213,BROOKLYN,08 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10031,NEW YORK,09 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,11220,BROOKLYN,12 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,11210,BROOKLYN,14 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10003,NEW YORK,03 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,10467,BRONX,07 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10462,BRONX,11 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,11222,BROOKLYN,01 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10457,BRONX,05 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10467,BRONX,07 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10466,BRONX,12 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10033,NEW YORK,12 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,11435,Jamaica,12 QUEENS,QUEENS
Department of Housing Preservation and Development,HEATING,HEAT,10040,NEW YORK,12 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,10025,NEW YORK,07 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,10451,BRONX,04 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10451,BRONX,04 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10031,NEW YORK,09 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,10031,NEW YORK,09 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,PAINT - PLASTER,CEILING,11378,Maspeth,05 QUEENS,QUEENS
Department of Housing Preservation and Development,PAINT - PLASTER,WALLS,11229,BROOKLYN,15 BROOKLYN,BROOKLYN
Department of Health and Mental Hygiene,Rodent,Rat Sighting,10009,NEW YORK,03 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,PLUMBING,WATER-SUPPLY,10031,NEW YORK,09 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,ELECTRIC,LIGHTING,11432,Jamaica,08 QUEENS,QUEENS
Department of Housing Preservation and Development,HEATING,HEAT,10019,NEW YORK,04 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,11420,South Ozone Park,10 QUEENS,QUEENS
Department of Housing Preservation and Development,HEATING,HEAT,11233,BROOKLYN,03 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,11219,BROOKLYN,12 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10031,NEW YORK,09 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,11213,BROOKLYN,08 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10026,NEW YORK,10 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,11212,BROOKLYN,17 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,11432,Jamaica,08 QUEENS,QUEENS
Department of Housing Preservation and Development,HEATING,HEAT,10473,BRONX,09 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10453,BRONX,05 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10458,BRONX,05 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,11693,Far Rockaway,14 QUEENS,QUEENS
Department of Housing Preservation and Development,HEATING,HEAT,11233,BROOKLYN,16 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10466,BRONX,12 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10472,BRONX,09 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10452,BRONX,04 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,11220,BROOKLYN,07 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,PAINT - PLASTER,WALLS,10034,NEW YORK,12 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,APPLIANCE,ELECTRIC/GAS-RANGE,11213,BROOKLYN,08 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,PLUMBING,WATER-LEAKS,11355,Flushing,07 QUEENS,QUEENS
Department of Housing Preservation and Development,GENERAL CONSTRUCTION,WINDOWS,11375,Forest Hills,06 QUEENS,QUEENS
Department of Housing Preservation and Development,HEATING,HEAT,10453,BRONX,05 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10453,BRONX,05 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,11237,BROOKLYN,04 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10467,BRONX,07 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,11210,BROOKLYN,14 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10003,NEW YORK,06 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,10453,BRONX,05 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10465,BRONX,10 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,11354,Flushing,07 QUEENS,QUEENS
Department of Housing Preservation and Development,HEATING,HEAT,10025,NEW YORK,07 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,10460,BRONX,06 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10027,NEW YORK,09 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,11226,BROOKLYN,09 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10040,NEW YORK,12 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,NONCONST,VERMIN,11216,BROOKLYN,08 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,PLUMBING,WATER-LEAKS,10030,NEW YORK,Unspecified MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,APPLIANCE,ELECTRIC/GAS-RANGE,11433,Jamaica,12 QUEENS,QUEENS
Department of Housing Preservation and Development,ELECTRIC,BELL-BUZZER/INTERCOM,11214,BROOKLYN,11 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,ELECTRIC,BELL-BUZZER/INTERCOM,11433,Jamaica,12 QUEENS,QUEENS
Department of Housing Preservation and Development,ELECTRIC,ELECTRIC-SUPPLY,11374,Rego Park,Unspecified QUEENS,QUEENS
Department of Housing Preservation and Development,HEATING,HEAT,11106,Astoria,01 QUEENS,QUEENS
Department of Housing Preservation and Development,HEATING,HEAT,11231,BROOKLYN,06 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,11220,BROOKLYN,07 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,11372,Jackson Heights,03 QUEENS,QUEENS
Department of Housing Preservation and Development,HEATING,HEAT,10034,NEW YORK,12 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,11355,Flushing,07 QUEENS,QUEENS
Department of Housing Preservation and Development,HEATING,HEAT,10039,NEW YORK,10 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,10463,BRONX,08 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10468,BRONX,05 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10467,BRONX,11 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10456,BRONX,03 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10458,BRONX,07 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10458,BRONX,05 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10467,BRONX,11 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,11237,BROOKLYN,04 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10458,BRONX,05 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,11235,BROOKLYN,13 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,10040,NEW YORK,12 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,10024,NEW YORK,07 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,HEATING,HEAT,11226,BROOKLYN,14 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,HEATING,HEAT,11361,Bayside,11 QUEENS,QUEENS
Department of Housing Preservation and Development,HEATING,HEAT,10472,BRONX,09 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10460,BRONX,09 BRONX,BRONX
Department of Housing Preservation and Development,HEATING,HEAT,10040,NEW YORK,12 MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,PAINT - PLASTER,WALLS,11203,BROOKLYN,17 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,ELECTRIC,BELL-BUZZER/INTERCOM,11214,BROOKLYN,11 BROOKLYN,BROOKLYN
Department of Housing Preservation and Development,ELECTRIC,ELECTRIC-SUPPLY,11374,Rego Park,Unspecified QUEENS,QUEENS
Department of Housing Preservation and Development,PLUMBING,WATER-LEAKS,10033,NEW YORK,Unspecified MANHATTAN,MANHATTAN
Department of Housing Preservation and Development,GENERAL CONSTRUCTION,DOORS,11432,Jamaica,08 QUEENS,QUEENS
Department of Housing Preservation and Development,GENERAL CONSTRUCTION,FLOOR,10472,BRONX,09 BRONX,BRONX
Department of Housing Preservation and Development,GENERAL CONSTRUCTION,DOORS,10012,NEW YORK,Unspecified MANHATTAN,MANHATTAN
