Agency,Business Title,Civil Service Title,Level,Division/Work Unit
DEPT OF INFO TECH & TELECOMM,MIS Support Technician - Family Justice Center,COMPUTER SERVICE TECHNICIAN (C,01,IT Svcs Delivery
DEPT OF INFO TECH & TELECOMM,MIS Support Technician - Family Justice Center,COMPUTER SERVICE TECHNICIAN (C,01,IT Svcs Delivery
DEPT OF ENVIRONMENT PROTECTION,Procurement and Contract Tracking Application Administrator,COMPUTER PROGRAMMER ANALYST,01,Administration/Procurement
DEPT OF ENVIRONMENT PROTECTION,Procurement and Contract Tracking Application Administrator,COMPUTER PROGRAMMER ANALYST,01,Administration/Procurement
NYC HOUSING AUTHORITY,Senior Advisor,ADMINISTRATIVE STAFF ANALYST (,00,Office of EVP - Cap Proj
NYC HOUSING AUTHORITY,Senior Advisor,ADMINISTRATIVE STAFF ANALYST (,00,Office of EVP - Cap Proj
DEPT OF INFO TECH & TELECOMM,Deputy Director of Web Production,COMPUTER PROGRAMMER ANALYST,02,Web & New Media Operations
DEPT OF INFO TECH & TELECOMM,Deputy Director of Web Production,COMPUTER PROGRAMMER ANALYST,02,Web & New Media Operations
FINANCIAL INFO SVCS AGENCY,PLSQL DBA DEVELOPER,COMPUTER SYSTEMS MANAGER,M1,Timekeeping Technical Systems
DEPT OF INFO TECH & TELECOMM,Application Support Engineer,COMPUTER SPECIALIST (SOFTWARE),02,Enterprise APP Services
DEPT OF INFO TECH & TELECOMM,Application Support Engineer,COMPUTER SPECIALIST (SOFTWARE),02,Enterprise APP Services
DEPARTMENT OF CORRECTION,Electrician,ELECTRICIAN,00,R.I. Support Opp - Civilian
DEPARTMENT OF CORRECTION,Electrician's Helper,ELECTRICIANS HELPER,00,R.I. Support Opp - Civilian
FINANCIAL INFO SVCS AGENCY,PLSQL DBA DEVELOPER,COMPUTER SYSTEMS MANAGER,M1,Timekeeping Technical Systems
FINANCIAL INFO SVCS AGENCY,WEB/UI DEVELOPER,COMPUTER SYSTEMS MANAGER,M1,Timekeeping Technical Systems
FINANCIAL INFO SVCS AGENCY,WEB/UI DEVELOPER,COMPUTER SYSTEMS MANAGER,M1,Timekeeping Technical Systems
DEPT OF ENVIRONMENT PROTECTION,Machinist's Helper,MACHINIST'S HELPER,00,Central Brookly City Operation
OFF OF PAYROLL ADMINISTRATION,Business Analyst Manager,COMPUTER SYSTEMS MANAGER,M2,Citywide Sys Business Analisys
OFF OF PAYROLL ADMINISTRATION,Business Analyst Manager,COMPUTER SYSTEMS MANAGER,M2,Citywide Sys Business Analisys
DEPT OF ENVIRONMENT PROTECTION,Supervisor EH&S Western Division,ASSOCIATE PUBLIC HEALTH SANITA,03,EHS-Sutton Park 02
DEPT OF ENVIRONMENT PROTECTION,Supervisor EH&S Western Division,ASSOCIATE PUBLIC HEALTH SANITA,03,EHS-Sutton Park 02
DEPT OF ENVIRONMENT PROTECTION,Machinist's Helper,MACHINIST'S HELPER,00,Central Brookly City Operation
DEPT OF HEALTH/MENTAL HYGIENE,Transactional Attorney,AGENCY ATTORNEY,02,OCME-Admin
DEPT OF HEALTH/MENTAL HYGIENE,Transactional Attorney,AGENCY ATTORNEY,02,OCME-Admin
FINANCIAL INFO SVCS AGENCY,DBA LEAD,COMPUTER SYSTEMS MANAGER,M2,Timekeeping Technical Services
DEPT OF HEALTH/MENTAL HYGIENE,"Environmental Data Analyst, Bureau of Environmental Surveillance and Policy",CITY RESEARCH SCIENTIST,02,Environ Surveillance & Policy
DEPT OF HEALTH/MENTAL HYGIENE,"Environmental Data Analyst, Bureau of Environmental Surveillance and Policy",CITY RESEARCH SCIENTIST,02,Environ Surveillance & Policy
DEPT OF YOUTH & COMM DEV SRVS,Field Supervisor-SYEP,FIELD SUPERVISOR (SUMMER YOUTH,00,Summer Youth Employ Prog-Seas
DEPT OF YOUTH & COMM DEV SRVS,Field Supervisor-SYEP,FIELD SUPERVISOR (SUMMER YOUTH,00,Summer Youth Employ Prog-Seas
FINANCIAL INFO SVCS AGENCY,DBA LEAD,COMPUTER SYSTEMS MANAGER,M2,Timekeeping Technical Services
DEPARTMENT OF PROBATION,Client Services Representative,COMMUNITY SERVICE AIDE,00,Operations
DEPARTMENT OF PROBATION,Client Services Representative,COMMUNITY SERVICE AIDE,00,Operations
DEPT OF ENVIRONMENT PROTECTION,Site Environmental Health & Safety (EHS) Officer,INDUSTRIAL HYGIENIST,02,EHS-Sutton Park 02
DEPT OF ENVIRONMENT PROTECTION,Site Environmental Health & Safety (EHS) Officer,INDUSTRIAL HYGIENIST,02,EHS-Sutton Park 02
DEPT OF ENVIRONMENT PROTECTION,Site Environmental Health & Safety (EHS) Officer,INDUSTRIAL HYGIENIST,02,EHS-Sutton Park 02
DEPT OF ENVIRONMENT PROTECTION,Site Environmental Health & Safety (EHS) Officer,INDUSTRIAL HYGIENIST,02,EHS-Sutton Park 02
DEPT OF HEALTH/MENTAL HYGIENE,"Special Assistant to the Assistant Commissioner, Bureau of Chronic Disease Prevention and Tobacco",CITY RESEARCH SCIENTIST,01,Chronic Disease Prevention
DEPT OF HEALTH/MENTAL HYGIENE,Special Projects Planner,CITY RESEARCH SCIENTIST,01,Early Intervention
DEPT OF HEALTH/MENTAL HYGIENE,Special Projects Planner,CITY RESEARCH SCIENTIST,01,Early Intervention
ADMIN TRIALS AND HEARINGS,Customer Service Representative,COMMUNITY SERVICE AIDE,00,ECB - Manhattan Office
ADMIN TRIALS AND HEARINGS,Customer Service Representative,COMMUNITY SERVICE AIDE,00,ECB - Manhattan Office
DEPT OF HEALTH/MENTAL HYGIENE,"Special Assistant to the Assistant Commissioner, Bureau of Chronic Disease Prevention and Tobacco",CITY RESEARCH SCIENTIST,01,Chronic Disease Prevention
HOUSING PRESERVATION & DVLPMNT,Executive Director for Planning Initiatives and Sustainability,ADMINISTRATIVE CITY PLANNER,M1,Planning
HOUSING PRESERVATION & DVLPMNT,Executive Director for Planning Initiatives and Sustainability,ADMINISTRATIVE CITY PLANNER,M1,Planning
DEPT OF ENVIRONMENT PROTECTION,Fixed Asset Analyst,ADMINISTRATIVE STAFF ANALYST (,00,Capital Budget Management
DEPT OF ENVIRONMENT PROTECTION,Fixed Asset Analyst,ADMINISTRATIVE STAFF ANALYST (,00,Capital Budget Management
ADMIN TRIALS AND HEARINGS,Customer Service Representative,COMMUNITY SERVICE AIDE,00,ECB - Manhattan Office
DEPT OF HEALTH/MENTAL HYGIENE,"Student Intern/College Aide ID (2nd Year Graduate), Communicable Diseases",COLLEGE AIDE (ALL CITY DEPTS),01,Communicable Diseases
DEPT OF HEALTH/MENTAL HYGIENE,"Student Intern/College Aide ID (2nd Year Graduate), Communicable Diseases",COLLEGE AIDE (ALL CITY DEPTS),01,Communicable Diseases
DEPT OF INFO TECH & TELECOMM,Identity Management Architect,COMPUTER SPECIALIST (SOFTWARE),04,IT Security
DEPT OF HEALTH/MENTAL HYGIENE,"Personnel Specialist, Bureau of Human Resources and Labor Relations",PRINCIPAL ADMINISTRATIVE ASSOC,01,HR Central
DEPT OF ENVIRONMENT PROTECTION,Chief Organizational Development Specialist-Engagement Project Manager,STRATEGIC INITIATIVE SPECIALIS,00,Administration/Personnel Srv
DEPT OF ENVIRONMENT PROTECTION,Chief Organizational Development Specialist-Engagement Project Manager,STRATEGIC INITIATIVE SPECIALIS,00,Administration/Personnel Srv
DEPT OF HEALTH/MENTAL HYGIENE,"Grants Manager, Bureau of Budget and Revenue",ADMINISTRATIVE STAFF ANALYST (,00,Fed-St-Other Cat Claims & Revs
DEPT OF HEALTH/MENTAL HYGIENE,"Grants Manager, Bureau of Budget and Revenue",ADMINISTRATIVE STAFF ANALYST (,00,Fed-St-Other Cat Claims & Revs
DEPT OF INFO TECH & TELECOMM,Identity Management Architect,COMPUTER SPECIALIST (SOFTWARE),04,IT Security
DEPT OF DESIGN & CONSTRUCTION,Sr. Estimator,SENIOR ESTIMATOR (GENERAL CONS,00,Pub Bldgs/Estimating
DEPT OF DESIGN & CONSTRUCTION,Sr. Estimator,SENIOR ESTIMATOR (GENERAL CONS,00,Pub Bldgs/Estimating
DEPARTMENT OF PROBATION,Alternative to Placement (ATP) Assessor,PROBATION OFFICER TRAINEE,00,Operations
DEPARTMENT OF PROBATION,Alternative to Placement (ATP) Assessor,PROBATION OFFICER TRAINEE,00,Operations
DEPARTMENT OF PROBATION,Human Capital Generalist,ADMINISTRATIVE STAFF ANALYST (,00,Personnel & Timekeeping
DEPARTMENT OF PROBATION,Human Capital Generalist,ADMINISTRATIVE STAFF ANALYST (,00,Personnel & Timekeeping
DEPT OF HEALTH/MENTAL HYGIENE,Scientist (Radiation Control),SCIENTIST (RADIATION CONTROL),03,Radiation Equipment
DEPT OF HEALTH/MENTAL HYGIENE,Scientist (Radiation Control),SCIENTIST (RADIATION CONTROL),03,Radiation Equipment
DEPT OF HEALTH/MENTAL HYGIENE,Executive Deputy Commissioner for Mental Hygiene,EXECUTIVE DEPUTY COMMISSIONER,00,Executive Deputy Com
DEPT OF HEALTH/MENTAL HYGIENE,Executive Deputy Commissioner for Mental Hygiene,EXECUTIVE DEPUTY COMMISSIONER,00,Executive Deputy Com
HRA/DEPT OF SOCIAL SERVICES,PROJECT MANAGER,COMPUTER SYSTEMS MANAGER,M1,HHS Connect-Mgr
DEPT OF HEALTH/MENTAL HYGIENE,"Integrated Pest Management Coordinator,Bureau of Environmental Disease Prevention",CITY RESEARCH SCIENTIST,4A,Lead Poisoning
DEPT OF HEALTH/MENTAL HYGIENE,"Integrated Pest Management Coordinator,Bureau of Environmental Disease Prevention",CITY RESEARCH SCIENTIST,4A,Lead Poisoning
DEPT OF HEALTH/MENTAL HYGIENE,"Research Outreach Manager, Veterinary and Pest Control",CITY RESEARCH SCIENTIST,02,off of Veter Public Health S
HRA/DEPT OF SOCIAL SERVICES,PROJECT MANAGER,COMPUTER SYSTEMS MANAGER,M1,HHS Connect-Mgr
DEPT OF HEALTH/MENTAL HYGIENE,Medicolegal Investigator,MEDICOLEGAL INVESTIGATOR (OCME,01,OCME-Pathology
DEPT OF HEALTH/MENTAL HYGIENE,Medicolegal Investigator,MEDICOLEGAL INVESTIGATOR (OCME,01,OCME-Pathology
DEPT OF HEALTH/MENTAL HYGIENE,"Research Outreach Manager, Veterinary and Pest Control",CITY RESEARCH SCIENTIST,02,off of Veter Public Health S
DEPT OF YOUTH & COMM DEV SRVS,Program Manager,ASSOCIATE CONTRACT SPECIALIST,00,Out of School Time
DEPT OF YOUTH & COMM DEV SRVS,Program Manager,ASSOCIATE CONTRACT SPECIALIST,00,Out of School Time
DEPT OF ENVIRONMENT PROTECTION,Archive Manager,PUBLIC RECORDS OFFICER,00,Records Retention Administrati
DEPT OF HEALTH/MENTAL HYGIENE,"Special Assistant, Bureau of Correctional Health Services",CITY RESEARCH SCIENTIST,01,CHS Medical
DEPT OF HEALTH/MENTAL HYGIENE,"Special Assistant, Bureau of Correctional Health Services",CITY RESEARCH SCIENTIST,01,CHS Medical
FINANCIAL INFO SVCS AGENCY,DISASTER RECOVERY MANAGER,COMPUTER SYSTEMS MANAGER,M1,Shared System-Info System
FINANCIAL INFO SVCS AGENCY,DISASTER RECOVERY MANAGER,COMPUTER SYSTEMS MANAGER,M1,Shared System-Info System
DEPT OF ENVIRONMENT PROTECTION,Archive Manager,PUBLIC RECORDS OFFICER,00,Records Retention Administrati
DEPT OF HEALTH/MENTAL HYGIENE,"Risk Issues Coordinator, Bureau of Correctional Heatlh Services",JUNIOR PUBLIC HEALTH NURSE,00,CHS Quality Assurance
DEPT OF HEALTH/MENTAL HYGIENE,"Risk Issues Coordinator, Bureau of Correctional Heatlh Services",JUNIOR PUBLIC HEALTH NURSE,00,CHS Quality Assurance
DEPT OF HEALTH/MENTAL HYGIENE,"Laboratory Microbiologist, Bureau of Public Health Laboratory",LABORATORY MICROBIOLOGIST,02,PHL Technical Affairs
DEPT OF HEALTH/MENTAL HYGIENE,"Fiscal Manager, Bureau of HIV/AIDS Prevention and Control",ADMINISTRATIVE STAFF ANALYST (,00,HIV/AIDS Administration
DEPT OF HEALTH/MENTAL HYGIENE,"Fiscal Manager, Bureau of HIV/AIDS Prevention and Control",ADMINISTRATIVE STAFF ANALYST (,00,HIV/AIDS Administration
DEPT OF ENVIRONMENT PROTECTION,Procurement Coordinator,ADMINISTRATIVE PROCUREMENT ANA,00,Administration/Procurement
DEPT OF ENVIRONMENT PROTECTION,Procurement Coordinator,ADMINISTRATIVE PROCUREMENT ANA,00,Administration/Procurement
DEPT OF INFO TECH & TELECOMM,Senior CAD Engineer,COMPUTER SYSTEMS MANAGER,M2,ECTP
DEPT OF INFO TECH & TELECOMM,Senior CAD Engineer,COMPUTER SYSTEMS MANAGER,M2,ECTP
DEPT OF DESIGN & CONSTRUCTION,Assistant Commissioner,ADMINISTRATIVE ENGINEER,M3,Infra-Construction-Exec
DEPT OF DESIGN & CONSTRUCTION,Assistant Commissioner,ADMINISTRATIVE ENGINEER,M3,Infra-Construction-Exec
ADMIN FOR CHILDREN'S SVCS,Deputy Commissioner for Early Care and Education,ADMINISTRATIVE STAFF ANALYST (,M7,Early Care Education
ADMIN FOR CHILDREN'S SVCS,Deputy Commissioner for the Division of Child Protection,ADMINISTRATIVE DIRECTOR OF SOC,M7,Dcp Operations (Dcp)
ADMIN FOR CHILDREN'S SVCS,Deputy Commissioner for the Division of Child Protection,ADMINISTRATIVE DIRECTOR OF SOC,M7,Dcp Operations (Dcp)
DEPT OF ENVIRONMENT PROTECTION,Technical Assistant,PRINCIPAL ADMINISTRATIVE ASSOC,02,I.F.A.-Sources Construction
DEPT OF HEALTH/MENTAL HYGIENE,Forensic Biostatistician,CITY RESEARCH SCIENTIST,03,OCME-DNA
DEPT OF HEALTH/MENTAL HYGIENE,Forensic Biostatistician,CITY RESEARCH SCIENTIST,03,OCME-DNA
DEPARTMENT OF FINANCE,City Assessor I,"CITY ASSESSOR (I,II,IIIA,IIIB)",01,Property Assessment Defense
DEPARTMENT OF FINANCE,City Assessor I,"CITY ASSESSOR (I,II,IIIA,IIIB)",01,Property Assessment Defense
DEPT OF HEALTH/MENTAL HYGIENE,"Research Scientist, Public Health Laboratory",CITY RESEARCH SCIENTIST,02,Microbiology
DEPT OF HEALTH/MENTAL HYGIENE,"Research Scientist, Public Health Laboratory",CITY RESEARCH SCIENTIST,02,Microbiology
DEPARTMENT OF FINANCE,City Assessor I,"CITY ASSESSOR (I,II,IIIA,IIIB)",01,Property Field Central
DEPT OF INFO TECH & TELECOMM,ECTP Integration Architect Lead,COMPUTER SYSTEMS MANAGER,M1,ECTP
DEPT OF INFO TECH & TELECOMM,ECTP Integration Architect Lead,COMPUTER SYSTEMS MANAGER,M1,ECTP
CIVIL SERVICE COMMISSION,Executive Director and General Counsel,EXECUTIVE AGENCY COUNSEL,M3,Civil Service Commission
DEPARTMENT OF FINANCE,City Assessor I,"CITY ASSESSOR (I,II,IIIA,IIIB)",01,Property Field Central
DEPT OF ENVIRONMENT PROTECTION,JUNIOR TECHNICAL WRITER,COMPUTER PROGRAMMER ANALYST,02,WEC/Central Office CIS
DEPT OF ENVIRONMENT PROTECTION,JUNIOR TECHNICAL WRITER,COMPUTER PROGRAMMER ANALYST,02,WEC/Central Office CIS
CIVIL SERVICE COMMISSION,Executive Director and General Counsel,EXECUTIVE AGENCY COUNSEL,M3,Civil Service Commission
CONSUMER AFFAIRS,Settlement Officer,COMMUNITY ASSOCIATE,00,Adjudication
CONSUMER AFFAIRS,Settlement Officer,COMMUNITY ASSOCIATE,00,Adjudication
CONSUMER AFFAIRS,Chief Information Officer,COMPUTER SYSTEMS MANAGER,M6,Computer Services
DEPT OF ENVIRONMENT PROTECTION,COBOL PROGRAMMER,COMPUTER PROGRAMMER ANALYST,02,WEC/Central Office CIS
DEPT OF ENVIRONMENT PROTECTION,COBOL PROGRAMMER,COMPUTER PROGRAMMER ANALYST,02,WEC/Central Office CIS
DEPT OF ENVIRONMENT PROTECTION,INCIDENT/PROBLEM COORDINATOR,COMPUTER PROGRAMMER ANALYST,02,WEC/Central Office CIS
CONSUMER AFFAIRS,Chief Information Officer,COMPUTER SYSTEMS MANAGER,M6,Computer Services
CONSUMER AFFAIRS,Director of Human Resources,ADMINISTRATIVE STAFF ANALYST (,M4,Administration
CONSUMER AFFAIRS,Director of Human Resources,ADMINISTRATIVE STAFF ANALYST (,M4,Administration
DEPT OF HEALTH/MENTAL HYGIENE,"Office Assistant, Bureau of Budget and Revenue",COLLEGE AIDE (ALL CITY DEPTS),01,Fed-St-Other Cat Claims & Revs
DEPT OF ENVIRONMENT PROTECTION,INCIDENT/PROBLEM COORDINATOR,COMPUTER PROGRAMMER ANALYST,02,WEC/Central Office CIS
NYC HOUSING AUTHORITY,Deputy Director,ADMINISTRATIVE HOUSING SUPERIN,M2,Technical Service Department
DEPT OF HEALTH/MENTAL HYGIENE,Laboratory Helper,LABORATORY HELPER,01,OCME-DNA
DEPT OF HEALTH/MENTAL HYGIENE,Laboratory Helper,LABORATORY HELPER,01,OCME-DNA
DEPT OF HEALTH/MENTAL HYGIENE,"Office Assistant, Bureau of Budget and Revenue",COLLEGE AIDE (ALL CITY DEPTS),01,Fed-St-Other Cat Claims & Revs
FINANCIAL INFO SVCS AGENCY,PMO Analyst,COMPUTER PROGRAMMER ANALYST,02,"Pyrl/HR, PMO"
FINANCIAL INFO SVCS AGENCY,PMO Analyst,COMPUTER PROGRAMMER ANALYST,02,"Pyrl/HR, PMO"
DEPT OF HEALTH/MENTAL HYGIENE,"Field Research Biologist, Veterinary and Pest Control",CITY RESEARCH SCIENTIST,01,Pest Control Services
DEPT OF HEALTH/MENTAL HYGIENE,"Field Research Biologist, Veterinary and Pest Control",CITY RESEARCH SCIENTIST,01,Pest Control Services
DEPT OF HEALTH/MENTAL HYGIENE,"Project Officer, HIV/AIDS Prevention and Control",CITY RESEARCH SCIENTIST,01,HIV/AIDS Prevention
DEPT OF HEALTH/MENTAL HYGIENE,"Project Officer, HIV/AIDS Prevention and Control",CITY RESEARCH SCIENTIST,01,HIV/AIDS Prevention
DEPT OF HEALTH/MENTAL HYGIENE,"Assistant Director of Communications, Office of External Affairs",ADMINISTRATIVE PUBLIC INFORMAT,M1,Public Information
DEPT OF HEALTH/MENTAL HYGIENE,"Assistant Director of Communications, Office of External Affairs",ADMINISTRATIVE PUBLIC INFORMAT,M1,Public Information
DEPT OF HEALTH/MENTAL HYGIENE,"Director, Bureau of Environmental Disease Prevention",HEALTH SERVICES MANAGER,M2,Environ. & Occupat. Dis. Epi.
DEPT OF HEALTH/MENTAL HYGIENE,"Director, Bureau of Environmental Disease Prevention",HEALTH SERVICES MANAGER,M2,Environ. & Occupat. Dis. Epi.
NYC HOUSING AUTHORITY,Director of Resident Engagement,ADMINISTRATIVE STAFF ANALYST (,M4,Resident Engagement Dept
NYC HOUSING AUTHORITY,Director of Resident Engagement,ADMINISTRATIVE STAFF ANALYST (,M4,Resident Engagement Dept
NYC HOUSING AUTHORITY,Director of Office of Public Private Partnerships,ADMINISTRATIVE STAFF ANALYST (,M4,Off of Public/Private Ptnr
NYC HOUSING AUTHORITY,Director of Office of Public Private Partnerships,ADMINISTRATIVE STAFF ANALYST (,M4,Off of Public/Private Ptnr
DEPARTMENT OF FINANCE,Data Analyst,STAFF ANALYST,02,Ctywd Paymts & Rcvbles-Ops
DEPARTMENT OF FINANCE,Data Analyst,STAFF ANALYST,02,Ctywd Paymts & Rcvbles-Ops
DEPT OF HEALTH/MENTAL HYGIENE,Safety & Health Specialist,CITY RESEARCH SCIENTIST,02,Emerg. Preparedness & Response
DEPT OF HEALTH/MENTAL HYGIENE,Safety & Health Specialist,CITY RESEARCH SCIENTIST,02,Emerg. Preparedness & Response
NYC HOUSING AUTHORITY,CARETAKER E,CARETAKER (HA),00,Elevators Svcs & Repairs Dept
FIRE DEPARTMENT,Health Surveillance Specialist,CITY MEDICAL SPECIALIST (PART-,02,Medical
FIRE DEPARTMENT,Health Surveillance Specialist,CITY MEDICAL SPECIALIST (PART-,02,Medical
DEPT OF HEALTH/MENTAL HYGIENE,"Correctional Counselor, Bureau of Correctional Health Services",CORRECTIONAL COUNSELOR,00,CHS Mental Health
DEPT OF HEALTH/MENTAL HYGIENE,"Correctional Counselor, Bureau of Correctional Health Services",CORRECTIONAL COUNSELOR,00,CHS Mental Health
DEPT OF HEALTH/MENTAL HYGIENE,"Correctional Counselor, Bureau of Correctional Health Services",CORRECTIONAL COUNSELOR,00,CHS Transitional Healthcare
DEPT OF HEALTH/MENTAL HYGIENE,"Correctional Counselor, Bureau of Correctional Health Services",CORRECTIONAL COUNSELOR,00,CHS Transitional Healthcare
DEPT OF HEALTH/MENTAL HYGIENE,Peer Specialist / NYC Supported Transition and Recovery Team (NYCSTART),SENIOR MENTAL HEALTH WORKER,00,Mental Health
DEPT OF HEALTH/MENTAL HYGIENE,"Budget and Procurement Analyst, Mental Hygiene-Administration",ADMINISTRATIVE STAFF ANALYST (,00,MHy Administration
DEPT OF HEALTH/MENTAL HYGIENE,"Budget and Procurement Analyst, Mental Hygiene-Administration",ADMINISTRATIVE STAFF ANALYST (,00,MHy Administration
DEPT OF HEALTH/MENTAL HYGIENE,"Environmental Health Scientist, Bureau of Environmental Disease Prevention",CITY RESEARCH SCIENTIST,02,Environ. Emerg. Info. Systems
DEPT OF HEALTH/MENTAL HYGIENE,Peer Specialist / NYC Supported Transition and Recovery Team (NYCSTART),SENIOR MENTAL HEALTH WORKER,00,Mental Health
DEPT OF HEALTH/MENTAL HYGIENE,"City Research Scientist,",CITY RESEARCH SCIENTIST,01,Immunization Surveillance
DEPT OF HEALTH/MENTAL HYGIENE,"City Research Scientist,",CITY RESEARCH SCIENTIST,01,Immunization Surveillance
DEPARTMENT OF PROBATION,Director of Press & Communications,ADMINISTRATIVE PUBLIC INFORMAT,M2,Admin Executive Offices
DEPT OF HEALTH/MENTAL HYGIENE,"Environmental Health Scientist, Bureau of Environmental Disease Prevention",CITY RESEARCH SCIENTIST,02,Environ. Emerg. Info. Systems
DEPT OF HEALTH/MENTAL HYGIENE,"Senior Evaluation Specialist, HIV/AIDS Prevention and Control",CITY RESEARCH SCIENTIST,03,HIV/AIDS Prevention
DEPT OF HEALTH/MENTAL HYGIENE,"Senior Evaluation Specialist, HIV/AIDS Prevention and Control",CITY RESEARCH SCIENTIST,03,HIV/AIDS Prevention
DEPT OF HEALTH/MENTAL HYGIENE,College Aide IB (Freshman - Sophomore),COLLEGE AIDE (ALL CITY DEPTS),01,Vector Surveillance
DEPARTMENT OF PROBATION,Director of Press & Communications,ADMINISTRATIVE PUBLIC INFORMAT,M2,Admin Executive Offices
DEPT OF ENVIRONMENT PROTECTION,INDUSTRIAL HYGIENIST II,INDUSTRIAL HYGIENIST,02,Environmental Health Safety
DEPT OF ENVIRONMENT PROTECTION,INDUSTRIAL HYGIENIST II,INDUSTRIAL HYGIENIST,02,Environmental Health Safety
CONSUMER AFFAIRS,Budget Associate,COMMUNITY ASSOCIATE,00,Fiscal Services
CONSUMER AFFAIRS,Budget Associate,COMMUNITY ASSOCIATE,00,Fiscal Services
DEPT OF HEALTH/MENTAL HYGIENE,"Grants Analyst, Bureau of Budgets and Revenue",ACCOUNTANT,02,Fed-St-Other Cat Claims & Revs
DEPT OF HEALTH/MENTAL HYGIENE,College Aide IB (Freshman - Sophomore),COLLEGE AIDE (ALL CITY DEPTS),01,Vector Surveillance
DEPT OF HEALTH/MENTAL HYGIENE,"Office Assistant,  College Aide (Junior-Senior)",COLLEGE AIDE (ALL CITY DEPTS),01,Office of Quality Improvemen
DEPT OF HEALTH/MENTAL HYGIENE,"Office Assistant,  College Aide (Junior-Senior)",COLLEGE AIDE (ALL CITY DEPTS),01,Office of Quality Improvemen
DEPT OF HEALTH/MENTAL HYGIENE,"Director of IT Operations, Bureau of Network Technology Services",COMPUTER SYSTEMS MANAGER,M1,Mgmt Information and Analysis
DEPT OF HEALTH/MENTAL HYGIENE,"Grants Analyst, Bureau of Budgets and Revenue",ACCOUNTANT,02,Fed-St-Other Cat Claims & Revs
LAW DEPARTMENT,Litigation Support Director,ASSISTANT CORPORATION COUNSEL,00,Litigation Support
LAW DEPARTMENT,Litigation Support Director,ASSISTANT CORPORATION COUNSEL,00,Litigation Support
DEPT OF INFO TECH & TELECOMM,CRN Wireless Engineer,COMPUTER ASSOC (SOFTWARE),02,Wireless Technologies
DEPT OF INFO TECH & TELECOMM,CRN Wireless Engineer,COMPUTER ASSOC (SOFTWARE),02,Wireless Technologies
DEPT OF HEALTH/MENTAL HYGIENE,"Director of IT Operations, Bureau of Network Technology Services",COMPUTER SYSTEMS MANAGER,M1,Mgmt Information and Analysis
DEPT OF INFO TECH & TELECOMM,Policy Analyst,ADM MANAGER-NON-MGRL FRM M1/M2,00,Commissioner'S Office
DEPT OF HEALTH/MENTAL HYGIENE,"Executive Director of Admin & Permits, Environmental Health-Administration",HEALTH SERVICES MANAGER,M3,EH Administration/Support
DEPT OF HEALTH/MENTAL HYGIENE,"Executive Director of Admin & Permits, Environmental Health-Administration",HEALTH SERVICES MANAGER,M3,EH Administration/Support
NYC HOUSING AUTHORITY,Assistant Resident Buildings Superintendent,ASSISTANT RESIDENT BUILDING SU,00,"Maint, Repair & Skilled Trades"
DEPT OF HEALTH/MENTAL HYGIENE,Translation Project Manager/Spanish Translator,INTERPRETER (SPANISH),00,Public Information
DEPT OF INFO TECH & TELECOMM,Policy Analyst,ADM MANAGER-NON-MGRL FRM M1/M2,00,Commissioner'S Office
DEPT OF HEALTH/MENTAL HYGIENE,"Laboratory Microbiologist, Bureau of Sexually Transmitted Disease",LABORATORY MICROBIOLOGIST,01,STD Laboratory Services
DEPT OF HEALTH/MENTAL HYGIENE,"Laboratory Microbiologist, Bureau of Sexually Transmitted Disease",LABORATORY MICROBIOLOGIST,01,STD Laboratory Services
DEPT OF HEALTH/MENTAL HYGIENE,Translation Project Manager/Spanish Translator,INTERPRETER (SPANISH),00,Public Information
DEPT OF HEALTH/MENTAL HYGIENE,"Data Analyst - Mortality and Hospitalization, World Trade Center Health Registry",CITY RESEARCH SCIENTIST,02,World Trde Centr Hlth Registry
DEPT OF HEALTH/MENTAL HYGIENE,"Data Analyst - Mortality and Hospitalization, World Trade Center Health Registry",CITY RESEARCH SCIENTIST,02,World Trde Centr Hlth Registry
DEPARTMENT OF FINANCE,Citrix Systems Administrator,COMPUTER SYSTEMS MANAGER,M1,"Tax,Policy,Audit& Assessm Appl"
DEPT OF INFO TECH & TELECOMM,311 Business Intelligence Systems Manager,COMPUTER SYSTEMS MANAGER,M1,311 Operations
DEPT OF INFO TECH & TELECOMM,311 Business Intelligence Systems Manager,COMPUTER SYSTEMS MANAGER,M1,311 Operations
DEPT OF DESIGN & CONSTRUCTION,Associate Commissioner â€“ Client Programs,ADMINISTRATIVE ARCHITECT,M5,Pub Bldgs/Various
DEPT OF DESIGN & CONSTRUCTION,Associate Commissioner â€“ Client Programs,ADMINISTRATIVE ARCHITECT,M5,Pub Bldgs/Various
DEPARTMENT OF FINANCE,Citrix Systems Administrator,COMPUTER SYSTEMS MANAGER,M1,"Tax,Policy,Audit& Assessm Appl"
DEPT OF HEALTH/MENTAL HYGIENE,Medicolegal Investigator,MEDICOLEGAL INVESTIGATOR (OCME,01,OCME-Pathology
DEPT OF HEALTH/MENTAL HYGIENE,Medicolegal Investigator,MEDICOLEGAL INVESTIGATOR (OCME,01,OCME-Pathology
DEPT OF ENVIRONMENT PROTECTION,EHS Trainer & Cirriculum Development Specialist,INDUSTRIAL HYGIENIST,02,Environmental Health Safety
DEPT OF ENVIRONMENT PROTECTION,EHS Trainer & Cirriculum Development Specialist,INDUSTRIAL HYGIENIST,02,Environmental Health Safety
